ID,smiles,MW,logP,norm_MW,TPSA,BalabanJ,MolMR,BertzCT,LabuteASA,split_MW,split_logP,split_norm_MW,split_TPSA,split_BalabanJ,split_BertzCT,split_LabuteASA
ZINC53126685,COc1ccccc1OCCN1C(=O)NC2(CCCCCC2)C1=O,332.40000000000015,2.7188000000000008,13.850000000000007,67.87,1.6082370494232334,89.16670000000005,608.7912531717925,141.65887669811053,train,train,train,train,train,train,test_in
ZINC63547041,O=C(NCCC1=c2cc(Cl)ccc2=NC1)[C@H]1C=C2N=C(c3cccs3)C=C(C(F)(F)F)N2N1,491.9260000000001,2.671000000000001,14.906848484848489,69.09,1.2975135763780363,119.97440000000003,1330.7222968854778,195.00359697667014,nan,train,train,val,train,nan,nan
ZINC64671048,COc1cc([C@H]2c3c(n[nH]c3C)C(=O)N2CCC2=c3ccccc3=NC2)ccc1O,402.45400000000006,1.8517199999999998,13.415133333333335,90.81,1.5236576611148736,110.97800000000001,1277.840618970482,172.88558231573086,nan,train,train,train,train,nan,nan
ZINC63802968,C[C@@H]1CCC[C@](CNC(=O)[C@@H](C)NC(N)=O)(N(C)C)C1,284.40400000000005,0.6699000000000013,14.220200000000002,87.46,2.5902024062468127,79.24080000000005,359.08306619396393,121.00016029597593,train,train,train,test_in,test_ex,train,train
ZINC45565505,Cc1ccc([C@H](NC(=O)NNC(=O)c2cc(C)oc2C)c2ccccc2)cc1,377.4440000000001,3.9384600000000027,13.48014285714286,83.37,1.6988866454400553,106.7796,962.451875180606,163.47234025322808,val,train,train,train,train,train,train
ZINC11978858,CC[C@@]1([C@H]2CC[N@@](Cc3cc(C)ccc3C)CC2)NC(=O)N(Cc2ccc3c(c2)OCO3)C1=O,463.57800000000026,4.144940000000003,13.634647058823537,71.11000000000001,1.2587779327769189,128.58570000000003,1109.0491998074237,200.56479976403855,nan,nan,train,train,train,train,test_ex
ZINC39677690,CC[C@@H](C(=O)N1C[C@@H](C(=O)NCc2ccc(-c3ccccn3)s2)C2(CCNCC2)C1)c1ccccc1,502.6840000000003,4.448300000000003,13.963444444444454,74.33,1.2886836252935856,143.47739999999988,1174.254436296205,216.68573231498402,test_ex,nan,train,train,train,train,test_ex
ZINC00994458,CC(=O)N1c2ccccc2NC2=CC(C)(C)CC(O)=C2[C@@H]1c1ccc(C)o1,364.4450000000001,5.233620000000005,13.497962962962967,65.71000000000001,2.02400086161833,105.54650000000004,980.9490366576866,158.53671529702137,train,test_ex,train,train,nan,train,train
ZINC06446295,N#CC1=C(N)C(C#N)(C#N)[C@H](c2cccnc2)[C@@H]2CN(C(=O)OCc3ccccc3)CC=C12,436.47500000000025,3.143740000000002,13.226515151515159,139.81999999999996,1.7149930430013116,117.23640000000003,1233.787719368825,190.9789972778059,nan,train,train,test_ex,train,nan,nan
ZINC03896540,Cc1cccc(C)c1Nc1c(-c2ccccc2O)nc2cnccn12,330.3910000000001,4.462340000000005,13.215640000000002,62.45,1.959682545558538,99.2865,1048.1800917505504,145.17702805332772,train,nan,val,train,train,train,train
ZINC46958679,Cc1cc(C)n(CC(=O)NNC(=O)NC[C@H]2CCN(c3ccccc3)C2)n1,370.4570000000001,1.3568399999999998,13.720629629629634,91.28999999999999,1.3507075883814843,103.14010000000005,788.7524928111708,158.4419212143087,train,train,train,test_in,train,train,val
ZINC21054596,Cc1ccccc1SCC(=O)N(Cc1ccccc1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,486.5970000000002,3.8010200000000003,13.902771428571434,101.19,1.7250508590032438,140.81409999999994,1432.504002754047,206.78406445087307,nan,train,train,nan,test_in,test_ex,test_ex
ZINC04709482,CC1=C(C)[C@H](C)Nc2sc(C(=O)Nc3c(C)cccc3[N+](=O)[O-])c(N)c21,372.4500000000001,4.406620000000002,14.325000000000005,110.28999999999999,2.010176155353135,105.87070000000004,961.5860795107154,154.60707621220425,test_in,nan,test_in,nan,nan,test_in,train
